NAME,ADDRESS,DESC,VARIANT,COVERED,SPACES,IMG,LNG,LAT
USPS-SILVERDALE,"10855 Silverdale Way NW, Silverdale, WA 98383",Left of the entrance. Not visible while inside,WAVE,NO,7,USPS-Silverdale.jpg,-122.68542,47.66219
CAFE CORVO,"629 N. CALLOW AVE BREMERTON, WA 98312",NA,NA,NA,NA,NA,-122.65347,47.56849
THE TRAILS - SPROUTS,"11066 Pacific Crest Pl Ste A150, Silverdale, WA 98383",Between Old Navy and Sprouts,WAVE,NO,4,The-Trails-Sprouts.jpg,-122.6945,47.6634
FRED MEYER,"5050 WA-303, Bremerton, WA 98311",By Fresh food entrance and Great Clips,WAVE,NO,3,Bremerton-Fred-Meyer.jpg,-122.6276,47.61009
MCWILLIAMS PARK AND RIDE LOT,"SR 303 (Wheaton Way) and McWilliams, Bremerton",By covered bus stop,WAVE,NO,5,McWilliams-Park-And-Ride.jpg,-122.62798,47.62183
RIDGETOP MIDDLE SCHOOL,"10600 Hillsboro Dr NW, Silverdale, WA 98383",Left of entrance,GRID,NO,8,Ridgetop-Middle-School.jpg,-122.66827,47.65848
WHEATON WAY TRANSIT CENTER,"3915 Wheaton Way, Bremerton, WA 98310",Near Main Sign - It’s Orange,BOLLARD,NO,6,NA,-122.63031,47.60073
WALGREENS-SYLVAN WAY,"3333 Wheaton Way, Bremerton, WA 98310",Wheaton Way side of store,WAVE,NO,5,NA,-122.63025,47.59515
MCDONALDS-WHEATON WAY,"3580 Wheaton Way, Bremerton, WA 98310",Left of entrance,STAPLE,NO,3,NA,-122.62889,47.59757
Maynard's East,"2233 NW Bucklin Hill Rd, Silverdale, WA 98383","At the East entrance, close to the Social Security office",WAVE,NO,3,Maynards-Silverdale-East.jpg,-122.67912,47.65048
Maynard's West,"2251 NW Bucklin Hill Rd, Silverdale, WA 98383",By the front entrance,WAVE,NO,3,Maynards-Silverdale-West.jpg,-122.68081,47.65044
THE TRAILS - HOMEGOODS,"11066 Pacific Crest Pl Ste A100, Silverdale, WA 98383",To the right of the entrance by the road to the back,BOLLARD,NO,3,NA,-122.69592,47.66304
WILCO-TRUE VALUE,"4330 Wheaton Way, Bremerton, WA 98310",To the right of the entrance past the carts,WAVE,YES,3,Bremerton-Wilco.jpg,-122.62704,47.60595
